"id","vehicle_id","trip_id","timestamp","latitude","longitude","bearing","origin","destination","route_name","direction","operator"
24040408,"4716","1107","2026-01-26 17:34:42",53.428085,-2.949731,25,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24041617,"4716","1107","2026-01-26 17:35:13",53.42843,-2.949248,49,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24042425,"4716","1107","2026-01-26 17:35:31",53.428668,-2.948633,54,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24044023,"4716","1107","2026-01-26 17:36:07",53.429848,-2.945113,39,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24045220,"4716","1107","2026-01-26 17:36:39",53.430393,-2.943905,44,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24045619,"4716","1107","2026-01-26 17:36:45",53.430823,-2.943286,40,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24046017,"4716","1107","2026-01-26 17:36:58",53.431793,-2.941626,46,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24047209,"4716","1107","2026-01-26 17:37:27",53.432328,-2.940533,64,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24047601,"4716","1107","2026-01-26 17:37:38",53.433078,-2.939236,38,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24047994,"4716","1107","2026-01-26 17:37:47",53.43371,-2.938195,52,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24048771,"4716","1107","2026-01-26 17:38:09",53.43458,-2.935448,53,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24049928,"4716","1107","2026-01-26 17:38:42",53.435626,-2.933878,37,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24051466,"4716","1107","2026-01-26 17:39:14",53.436481,-2.933123,21,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24052668,"4716","1107","2026-01-26 17:39:53",53.437321,-2.932695,11,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24053432,"4716","1107","2026-01-26 17:40:23",53.438221,-2.932626,0,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24053816,"4716","1107","2026-01-26 17:40:27",53.438453,-2.932651,352,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24054592,"4716","1107","2026-01-26 17:40:47",53.440818,-2.932763,6,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24056933,"4716","1107","2026-01-26 17:41:45",53.441783,-2.932716,317,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
24057717,"4716","1107","2026-01-26 17:42:07",53.441443,-2.932291,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23825912,"4720","1095","2026-01-26 16:03:21",53.407516,-2.983266,109,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23827089,"4720","1095","2026-01-26 16:03:54",53.407498,-2.983178,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23827871,"4720","1095","2026-01-26 16:04:27",53.407551,-2.983131,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23829454,"4720","1095","2026-01-26 16:05:00",53.407623,-2.98299,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23830647,"4720","1095","2026-01-26 16:05:31",53.407626,-2.98289,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23831837,"4720","1095","2026-01-26 16:06:04",53.407683,-2.982936,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23833033,"4720","1095","2026-01-26 16:06:37",53.407723,-2.982938,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23834620,"4720","1095","2026-01-26 16:07:08",53.407466,-2.98273,58,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23835799,"4720","1095","2026-01-26 16:07:41",53.407536,-2.982135,28,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23836192,"4720","1095","2026-01-26 16:07:44",53.407526,-2.982131,28,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23836584,"4720","1095","2026-01-26 16:07:51",53.407545,-2.982125,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23836978,"4720","1095","2026-01-26 16:08:09",53.407553,-2.982085,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23837764,"4720","1095","2026-01-26 16:08:26",53.407536,-2.982098,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23838155,"4720","1095","2026-01-26 16:08:33",53.407536,-2.982098,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23838544,"4720","1095","2026-01-26 16:08:42",53.407551,-2.982116,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23838933,"4720","1095","2026-01-26 16:08:51",53.407546,-2.982153,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23839322,"4720","1095","2026-01-26 16:08:56",53.40752,-2.98219,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23839709,"4720","1095","2026-01-26 16:09:05",53.407528,-2.982183,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23840096,"4720","1095","2026-01-26 16:09:08",53.407528,-2.982183,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23840482,"4720","1095","2026-01-26 16:09:29",53.407556,-2.982106,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23840872,"4720","1095","2026-01-26 16:09:42",53.407585,-2.982081,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23841258,"4720","1095","2026-01-26 16:09:51",53.407568,-2.982078,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23841646,"4720","1095","2026-01-26 16:09:59",53.40756,-2.982088,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23842032,"4720","1095","2026-01-26 16:10:09",53.407556,-2.982103,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23842417,"4720","1095","2026-01-26 16:10:20",53.407555,-2.982118,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23842805,"4720","1095","2026-01-26 16:10:26",53.407555,-2.982118,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23843192,"4720","1095","2026-01-26 16:10:38",53.407551,-2.982086,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23843580,"4720","1095","2026-01-26 16:10:50",53.407506,-2.982098,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23843973,"4720","1095","2026-01-26 16:10:58",53.407493,-2.98209,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23844367,"4720","1095","2026-01-26 16:11:06",53.407488,-2.982103,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
23844760,"4720","1095","2026-01-26 16:11:14",53.407505,-2.982126,,Queen_Square_Bus_Station,Petherick_Road,"14",outbound,AMSY
